Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
Day  ,JD  ,JD_prcp  ,JD_snow  ,Month  ,State_id  ,Year  ,CPRC (in),CPRS (in),CSNW (in),PRCP (in),PRCP_flag  ,SNOW (in),SNOW_flag  ,SNWD (in),SNWD_flag  ,Season_prcp  ,Season_snow  ,TAVE (F),TMAX (F),TMAX_flag  ,TMIN (F),TMIN_flag   
2,61,153,214,3,'305801',2010,8.78,23.24,51.4,0.01,'  0',0,'  0',7,'  0','2009-10','2009-10',42,47,'  0',36,'  0' 
3,62,154,215,3,'305801',2010,8.85,23.31,51.4,0.07,'  0',0,'T 0',4,'  0','2009-10','2009-10',38,41,'  0',34,'  0' 
4,63,155,216,3,'305801',2010,8.85,23.31,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',41,47,'  0',35,'  0' 
5,64,156,217,3,'305801',2010,8.85,23.31,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',42,49,'  0',34,'  0' 
6,65,157,218,3,'305801',2010,8.85,23.31,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',43,54,'  0',32,'  0' 
7,66,158,219,3,'305801',2010,8.85,23.31,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',47,57,'  0',37,'  0' 
8,67,159,220,3,'305801',2010,8.85,23.31,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',51,61,'  0',41,'  0' 
9,68,160,221,3,'305801',2010,8.85,23.31,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',53,61,'  0',44,'  0' 
10,69,161,222,3,'305801',2010,8.85,23.31,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',51,57,'  0',44,'  0' 
11,70,162,223,3,'305801',2010,8.85,23.31,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',48,53,'  0',42,'  0' 
12,71,163,224,3,'305801',2010,9.06,23.52,51.4,0.21,'  0',0,'  0',0,'  0','2009-10','2009-10',41,43,'  0',39,'  0' 
13,72,164,225,3,'305801',2010,12.92,27.38,51.4,3.86,'  0',0,'  0',0,'  0','2009-10','2009-10',42,46,'  0',38,'  0' 
14,73,165,226,3,'305801',2010,13.16,27.62,51.4,0.24,'  0',0,'  0',0,'  0','2009-10','2009-10',47,50,'  0',43,'  0' 
15,74,166,227,3,'305801',2010,13.49,27.95,51.4,0.33,'  0',0,'  0',0,'  0','2009-10','2009-10',44,46,'  0',41,'  0' 
16,75,167,228,3,'305801',2010,13.49,27.95,51.4,0,'T 0',0,'  0',0,'  0','2009-10','2009-10',52,63,'  0',41,'  0' 
17,76,168,229,3,'305801',2010,13.49,27.95,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',55,66,'  0',43,'  0' 
18,77,169,230,3,'305801',2010,13.49,27.95,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',60,69,'  0',50,'  0' 
19,78,170,231,3,'305801',2010,13.49,27.95,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',61,72,'  0',49,'  0' 
20,79,171,232,3,'305801',2010,13.49,27.95,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',64,74,'  0',54,'  0' 
21,80,172,233,3,'305801',2010,13.49,27.95,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',58,64,'  0',51,'  0' 
22,81,173,234,3,'305801',2010,14.83,29.29,51.4,1.34,'  0',0,'  0',0,'  0','2009-10','2009-10',54,57,'  0',50,'  0' 
23,82,174,235,3,'305801',2010,14.94,29.4,51.4,0.11,'  0',0,'  0',0,'  0','2009-10','2009-10',49,53,'  0',45,'  0' 
24,83,175,236,3,'305801',2010,14.94,29.4,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',52,60,'  0',43,'  0' 
25,84,176,237,3,'305801',2010,14.94,29.4,51.4,0,'T 0',0,'  0',0,'  0','2009-10','2009-10',55,62,'  0',48,'  0' 
26,85,177,238,3,'305801',2010,15.08,29.54,51.4,0.14,'  0',0,'  0',0,'  0','2009-10','2009-10',43,52,'  0',34,'  0' 
27,86,178,239,3,'305801',2010,15.08,29.54,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',37,44,'  0',29,'  0' 
28,87,179,240,3,'305801',2010,15.42,29.88,51.4,0.34,'  0',0,'  0',0,'  0','2009-10','2009-10',43,49,'  0',36,'  0' 
29,88,180,241,3,'305801',2010,17,31.46,51.4,1.58,'  0',0,'  0',0,'  0','2009-10','2009-10',51,53,'  0',48,'  0' 
30,89,181,242,3,'305801',2010,19.45,33.91,51.4,2.45,'  0',0,'  0',0,'  0','2009-10','2009-10',46,50,'  0',41,'  0' 
31,90,182,243,3,'305801',2010,19.46,33.92,51.4,0.01,'  0',0,'  0',0,'  0','2009-10','2009-10',51,57,'  0',45,'  0' 
1,91,183,244,4,'305801',2010,19.46,33.92,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',59,70,'  0',48,'  0' 
2,92,184,245,4,'305801',2010,19.46,33.92,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',58,68,'  0',48,'  0' 
3,93,185,246,4,'305801',2010,19.46,33.92,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',57,67,'  0',47,'  0' 
4,94,186,247,4,'305801',2010,19.46,33.92,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',62,76,'  0',47,'  0' 
5,95,187,248,4,'305801',2010,19.46,33.92,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',66,75,'  0',56,'  0' 
6,96,188,249,4,'305801',2010,19.46,33.92,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',68,78,'  0',58,'  0' 
7,97,189,250,4,'305801',2010,19.46,33.92,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',74,92,'  0',56,'  0' 
8,98,190,251,4,'305801',2010,19.46,33.92,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',72,80,'  0',64,'  0' 
9,99,191,252,4,'305801',2010,19.76,34.22,51.4,0.3,'  0',0,'  0',0,'  0','2009-10','2009-10',56,68,'  0',44,'  0' 
10,100,192,253,4,'305801',2010,19.76,34.22,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',52,62,'  0',42,'  0' 
11,101,193,254,4,'305801',2010,19.76,34.22,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',64,76,'  0',52,'  0' 
12,102,194,255,4,'305801',2010,19.76,34.22,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',60,67,'  0',52,'  0' 
13,103,195,256,4,'305801',2010,19.76,34.22,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',52,56,'  0',47,'  0' 
14,104,196,257,4,'305801',2010,19.76,34.22,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',56,67,'  0',45,'  0' 
15,105,197,258,4,'305801',2010,19.76,34.22,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',62,73,'  0',50,'  0' 
16,106,198,259,4,'305801',2010,20.07,34.53,51.4,0.31,'  0',0,'  0',0,'  0','2009-10','2009-10',52,57,'  0',46,'  0' 
17,107,199,260,4,'305801',2010,20.08,34.54,51.4,0.01,'  0',0,'  0',0,'  0','2009-10','2009-10',50,54,'  0',46,'  0' 
18,108,200,261,4,'305801',2010,20.08,34.54,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',50,57,'  0',42,'  0' 
19,109,201,262,4,'305801',2010,20.08,34.54,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',55,63,'  0',46,'  0' 
20,110,202,263,4,'305801',2010,20.08,34.54,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',59,70,'  0',47,'  0' 
21,111,203,264,4,'305801',2010,20.11,34.57,51.4,0.03,'  0',0,'  0',0,'  0','2009-10','2009-10',61,69,'  0',53,'  0' 
22,112,204,265,4,'305801',2010,20.11,34.57,51.4,0,'T 0',0,'  0',0,'  0','2009-10','2009-10',62,72,'  0',51,'  0' 
23,113,205,266,4,'305801',2010,20.11,34.57,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',56,68,'  0',44,'  0' 
24,114,206,267,4,'305801',2010,20.11,34.57,51.4,0,'T 0',0,'  0',0,'  0','2009-10','2009-10',57,68,'  0',46,'  0' 
25,115,207,268,4,'305801',2010,21.71,36.17,51.4,1.6,'  0',0,'  0',0,'  0','2009-10','2009-10',49,52,'  0',46,'  0' 
26,116,208,269,4,'305801',2010,22.4,36.86,51.4,0.69,'  0',0,'  0',0,'  0','2009-10','2009-10',51,53,'  0',48,'  0' 
27,117,209,270,4,'305801',2010,22.45,36.91,51.4,0.05,'  0',0,'  0',0,'  0','2009-10','2009-10',50,58,'  0',41,'  0' 
28,118,210,271,4,'305801',2010,22.45,36.91,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',48,56,'  0',40,'  0' 
29,119,211,272,4,'305801',2010,22.45,36.91,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',57,69,'  0',45,'  0' 
30,120,212,273,4,'305801',2010,22.45,36.91,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',67,78,'  0',56,'  0' 
1,121,213,274,5,'305801',2010,22.45,36.91,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',75,85,'  0',64,'  0' 
2,122,214,275,5,'305801',2010,22.45,36.91,51.4,0,'T 0',0,'  0',0,'  0','2009-10','2009-10',77,88,'  0',66,'  0' 
3,123,215,276,5,'305801',2010,23.74,38.2,51.4,1.29,'  0',0,'  0',0,'  0','2009-10','2009-10',74,80,'  0',67,'  0' 
4,124,216,277,5,'305801',2010,23.74,38.2,51.4,0,'T 0',0,'  0',0,'  0','2009-10','2009-10',72,81,'  0',62,'  0' 
5,125,217,278,5,'305801',2010,23.74,38.2,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',69,80,'  0',58,'  0' 
6,126,218,279,5,'305801',2010,23.74,38.2,51.4,0,'T 0',0,'  0',0,'  0','2009-10','2009-10',69,78,'  0',59,'  0' 
7,127,219,280,5,'305801',2010,23.74,38.2,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',63,73,'  0',52,'  0' 
8,128,220,281,5,'305801',2010,23.78,38.24,51.4,0.04,'  0',0,'  0',0,'  0','2009-10','2009-10',63,76,'  0',49,'  0' 
9,129,221,282,5,'305801',2010,23.78,38.24,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',48,52,'  0',44,'  0' 
10,130,222,283,5,'305801',2010,23.78,38.24,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',51,61,'  0',41,'  0' 
11,131,223,284,5,'305801',2010,23.81,38.27,51.4,0.03,'  0',0,'  0',0,'  0','2009-10','2009-10',50,56,'  0',43,'  0' 
12,132,224,285,5,'305801',2010,24.24,38.7,51.4,0.43,'  0',0,'  0',0,'  0','2009-10','2009-10',46,48,'  0',44,'  0' 
13,133,225,286,5,'305801',2010,24.24,38.7,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',55,67,'  0',43,'  0' 
14,134,226,287,5,'305801',2010,24.28,38.74,51.4,0.04,'  0',0,'  0',0,'  0','2009-10','2009-10',68,80,'  0',55,'  0' 
15,135,227,288,5,'305801',2010,24.28,38.74,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',67,73,'  0',60,'  0' 
16,136,228,289,5,'305801',2010,24.28,38.74,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',63,72,'  0',54,'  0' 
17,137,229,290,5,'305801',2010,24.28,38.74,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',65,74,'  0',55,'  0' 
18,138,230,291,5,'305801',2010,25.37,39.83,51.4,1.09,'  0',0,'  0',0,'  0','2009-10','2009-10',56,62,'  0',50,'  0' 
19,139,231,292,5,'305801',2010,25.37,39.83,51.4,0,'T 0',0,'  0',0,'  0','2009-10','2009-10',57,64,'  0',50,'  0' 
20,140,232,293,5,'305801',2010,25.37,39.83,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',67,79,'  0',55,'  0' 
21,141,233,294,5,'305801',2010,25.37,39.83,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',73,85,'  0',61,'  0' 
22,142,234,295,5,'305801',2010,25.37,39.83,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',66,74,'  0',57,'  0' 
23,143,235,296,5,'305801',2010,25.37,39.83,51.4,0,'T 0',0,'  0',0,'  0','2009-10','2009-10',65,71,'  0',58,'  0' 
24,144,236,297,5,'305801',2010,25.4,39.86,51.4,0.03,'  0',0,'  0',0,'  0','2009-10','2009-10',67,73,'  0',60,'  0' 
25,145,237,298,5,'305801',2010,25.4,39.86,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',72,82,'  0',61,'  0' 
26,146,238,299,5,'305801',2010,25.4,39.86,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',79,92,'  0',65,'  0' 
27,147,239,300,5,'305801',2010,25.46,39.92,51.4,0.06,'  0',0,'  0',0,'  0','2009-10','2009-10',69,83,'  0',55,'  0' 
28,148,240,301,5,'305801',2010,25.46,39.92,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',63,70,'  0',56,'  0' 
29,149,241,302,5,'305801',2010,25.46,39.92,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',69,77,'  0',61,'  0' 
30,150,242,303,5,'305801',2010,25.46,39.92,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',76,84,'  0',67,'  0' 
31,151,243,304,5,'305801',2010,25.46,39.92,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',78,86,'  0',69,'  0' 
1,152,244,305,6,'305801',2010,25.46,39.92,51.4,0,'T 0',0,'  0',0,'  0','2009-10','2009-10',76,85,'  0',66,'  0' 
2,153,245,306,6,'305801',2010,25.46,39.92,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',77,87,'  0',67,'  0' 
3,154,246,307,6,'305801',2010,25.46,39.92,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',77,87,'  0',67,'  0' 
4,155,247,308,6,'305801',2010,25.46,39.92,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',80,88,'  0',72,'  0' 
5,156,248,309,6,'305801',2010,25.46,39.92,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',82,88,'  0',76,'  0' 
6,157,249,310,6,'305801',2010,25.48,39.94,51.4,0.02,'  0',0,'  0',0,'  0','2009-10','2009-10',75,89,'  0',61,'  0' 
7,158,250,311,6,'305801',2010,25.48,39.94,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',66,75,'  0',57,'  0' 
8,159,251,312,6,'305801',2010,25.48,39.94,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',67,75,'  0',58,'  0' 
9,160,252,313,6,'305801',2010,26.37,40.83,51.4,0.89,'  0',0,'  0',0,'  0','2009-10','2009-10',63,68,'  0',57,'  0' 
10,161,253,314,6,'305801',2010,26.62,41.08,51.4,0.25,'  0',0,'  0',0,'  0','2009-10','2009-10',66,74,'  0',58,'  0' 
11,162,254,315,6,'305801',2010,26.62,41.08,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',65,71,'  0',58,'  0' 
12,163,255,316,6,'305801',2010,26.62,41.08,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',70,79,'  0',61,'  0' 
13,164,256,317,6,'305801',2010,26.92,41.38,51.4,0.3,'  0',0,'  0',0,'  0','2009-10','2009-10',72,78,'  0',65,'  0' 
14,165,257,318,6,'305801',2010,26.93,41.39,51.4,0.01,'  0',0,'  0',0,'  0','2009-10','2009-10',72,79,'  0',64,'  0' 
15,166,258,319,6,'305801',2010,26.93,41.39,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',73,81,'  0',64,'  0' 
16,167,259,320,6,'305801',2010,26.93,41.39,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',70,75,'  0',64,'  0' 
17,168,260,321,6,'305801',2010,27.38,41.84,51.4,0.45,'  0',0,'  0',0,'  0','2009-10','2009-10',70,74,'  0',65,'  0' 
18,169,261,322,6,'305801',2010,27.38,41.84,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',73,86,'  0',60,'  0' 
19,170,262,323,6,'305801',2010,27.38,41.84,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',73,81,'  0',64,'  0' 
20,171,263,324,6,'305801',2010,27.38,41.84,51.4,0,'T 0',0,'  0',0,'  0','2009-10','2009-10',80,89,'  0',71,'  0' 
21,172,264,325,6,'305801',2010,27.38,41.84,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',79,87,'  0',71,'  0' 
22,173,265,326,6,'305801',2010,27.65,42.11,51.4,0.27,'  0',0,'  0',0,'  0','2009-10','2009-10',79,87,'  0',71,'  0' 
23,174,266,327,6,'305801',2010,27.65,42.11,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',80,89,'  0',71,'  0' 
24,175,267,328,6,'305801',2010,27.65,42.11,51.4,0,'T 0',0,'  0',0,'  0','2009-10','2009-10',84,92,'  0',76,'  0' 
25,176,268,329,6,'305801',2010,27.65,42.11,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',79,87,'  0',71,'  0' 
26,177,269,330,6,'305801',2010,27.65,42.11,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',80,89,'  0',71,'  0' 
27,178,270,331,6,'305801',2010,27.65,42.11,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',81,91,'  0',71,'  0' 
28,179,271,332,6,'305801',2010,27.66,42.12,51.4,0.01,'  0',0,'  0',0,'  0','2009-10','2009-10',85,93,'  0',76,'  0' 
29,180,272,333,6,'305801',2010,27.66,42.12,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',81,91,'  0',70,'  0' 
30,181,273,334,6,'305801',2010,27.66,42.12,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',71,79,'  0',62,'  0' 
1,182,274,335,7,'305801',2010,27.66,42.12,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',70,77,'  0',62,'  0' 
2,183,275,336,7,'305801',2010,27.66,42.12,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',72,82,'  0',61,'  0' 
3,184,276,337,7,'305801',2010,27.66,42.12,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',77,89,'  0',65,'  0' 
4,185,277,338,7,'305801',2010,27.66,42.12,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',85,96,'  0',73,'  0' 
5,186,278,339,7,'305801',2010,27.66,42.12,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',88,99,'  0',76,'  0' 
6,187,279,340,7,'305801',2010,27.66,42.12,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',92,103,'  0',81,'  0' 
7,188,280,341,7,'305801',2010,27.66,42.12,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',90,100,'  0',80,'  0' 
8,189,281,342,7,'305801',2010,27.66,42.12,51.4,0,'T 0',0,'  0',0,'  0','2009-10','2009-10',83,89,'  0',77,'  0' 
9,190,282,343,7,'305801',2010,27.68,42.14,51.4,0.02,'  0',0,'  0',0,'  0','2009-10','2009-10',83,90,'  0',75,'  0' 
10,191,283,344,7,'305801',2010,27.68,42.14,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',78,83,'  0',73,'  0' 
11,192,284,345,7,'305801',2010,27.68,42.14,51.4,0,'T 0',0,'  0',0,'  0','2009-10','2009-10',83,94,'  0',71,'  0' 
12,193,285,346,7,'305801',2010,27.68,42.14,51.4,0,'T 0',0,'  0',0,'  0','2009-10','2009-10',84,94,'  0',73,'  0' 
13,194,286,347,7,'305801',2010,28.52,42.98,51.4,0.84,'  0',0,'  0',0,'  0','2009-10','2009-10',78,83,'  0',73,'  0' 
14,195,287,348,7,'305801',2010,28.97,43.43,51.4,0.45,'  0',0,'  0',0,'  0','2009-10','2009-10',76,79,'  0',73,'  0' 
15,196,288,349,7,'305801',2010,28.97,43.43,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',80,87,'  0',72,'  0' 
16,197,289,350,7,'305801',2010,28.97,43.43,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',84,93,'  0',74,'  0' 
17,198,290,351,7,'305801',2010,28.97,43.43,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',85,94,'  0',76,'  0' 
18,199,291,352,7,'305801',2010,28.97,43.43,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',86,94,'  0',78,'  0' 
19,200,292,353,7,'305801',2010,29.12,43.58,51.4,0.15,'  0',0,'  0',0,'  0','2009-10','2009-10',82,92,'  0',72,'  0' 
20,201,293,354,7,'305801',2010,29.12,43.58,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',82,89,'  0',74,'  0' 
21,202,294,355,7,'305801',2010,29.12,43.58,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',85,93,'  0',76,'  0' 
22,203,295,356,7,'305801',2010,29.12,43.58,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',82,90,'  0',74,'  0' 
23,204,296,357,7,'305801',2010,29.82,44.28,51.4,0.7,'  0',0,'  0',0,'  0','2009-10','2009-10',80,87,'  0',73,'  0' 
24,205,297,358,7,'305801',2010,29.82,44.28,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',89,97,'  0',80,'  0' 
25,206,298,359,7,'305801',2010,30.17,44.63,51.4,0.35,'  0',0,'  0',0,'  0','2009-10','2009-10',82,93,'  0',70,'  0' 
26,207,299,360,7,'305801',2010,30.17,44.63,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',78,87,'  0',68,'  0' 
27,208,300,361,7,'305801',2010,30.17,44.63,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',81,91,'  0',70,'  0' 
28,209,301,362,7,'305801',2010,30.17,44.63,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',82,89,'  0',74,'  0' 
29,210,302,363,7,'305801',2010,30.26,44.72,51.4,0.09,'  0',0,'  0',0,'  0','2009-10','2009-10',82,89,'  0',74,'  0' 
30,211,303,364,7,'305801',2010,30.26,44.72,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',76,85,'  0',66,'  0' 
31,212,304,365,7,'305801',2010,30.26,44.72,51.4,0,'  0',0,'  0',0,'  0','2009-10','2009-10',76,85,'  0',66,'  0' 
1,213,305,1,8,'305801',2010,30.26,44.72,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',75,80,'  0',70,'  0' 
2,214,306,2,8,'305801',2010,30.26,44.72,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',77,85,'  0',69,'  0' 
3,215,307,3,8,'305801',2010,30.26,44.72,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',79,86,'  0',72,'  0' 
4,216,308,4,8,'305801',2010,30.26,44.72,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',83,91,'  0',75,'  0' 
5,217,309,5,8,'305801',2010,30.28,44.74,0,0.02,'  0',0,'  0',0,'  0','2009-10','2010-11',86,95,'  0',77,'  0' 
6,218,310,6,8,'305801',2010,30.28,44.74,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',80,90,'  0',70,'  0' 
7,219,311,7,8,'305801',2010,30.28,44.74,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',78,87,'  0',68,'  0' 
8,220,312,8,8,'305801',2010,30.28,44.74,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',81,89,'  0',73,'  0' 
9,221,313,9,8,'305801',2010,30.28,44.74,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',84,94,'  0',74,'  0' 
10,222,314,10,8,'305801',2010,30.28,44.74,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',85,92,'  0',78,'  0' 
11,223,315,11,8,'305801',2010,30.28,44.74,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',85,93,'  0',76,'  0' 
12,224,316,12,8,'305801',2010,30.37,44.83,0,0.09,'  0',0,'  0',0,'  0','2009-10','2010-11',72,76,'  0',68,'  0' 
13,225,317,13,8,'305801',2010,30.37,44.83,0,0,'T 0',0,'  0',0,'  0','2009-10','2010-11',75,82,'  0',68,'  0' 
14,226,318,14,8,'305801',2010,30.37,44.83,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',74,82,'  0',65,'  0' 
15,227,319,15,8,'305801',2010,30.53,44.99,0,0.16,'  0',0,'  0',0,'  0','2009-10','2010-11',72,77,'  0',67,'  0' 
16,228,320,16,8,'305801',2010,30.64,45.1,0,0.11,'  0',0,'  0',0,'  0','2009-10','2010-11',78,86,'  0',69,'  0' 
17,229,321,17,8,'305801',2010,30.64,45.1,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',83,91,'  0',74,'  0' 
18,230,322,18,8,'305801',2010,30.64,45.1,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',79,86,'  0',72,'  0' 
19,231,323,19,8,'305801',2010,30.64,45.1,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',80,91,'  0',68,'  0' 
20,232,324,20,8,'305801',2010,30.64,45.1,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',82,90,'  0',73,'  0' 
21,233,325,21,8,'305801',2010,30.64,45.1,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',76,85,'  0',66,'  0' 
22,234,326,22,8,'305801',2010,32.33,46.79,0,1.69,'  0',0,'  0',0,'  0','2009-10','2010-11',75,80,'  0',69,'  0' 
23,235,327,23,8,'305801',2010,33.38,47.84,0,1.05,'  0',0,'  0',0,'  0','2009-10','2010-11',68,70,'  0',65,'  0' 
24,236,328,24,8,'305801',2010,33.4,47.86,0,0.02,'  0',0,'  0',0,'  0','2009-10','2010-11',67,70,'  0',64,'  0' 
25,237,329,25,8,'305801',2010,34.4,48.86,0,1,'  0',0,'  0',0,'  0','2009-10','2010-11',67,69,'  0',64,'  0' 
26,238,330,26,8,'305801',2010,34.4,48.86,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',74,82,'  0',65,'  0' 
27,239,331,27,8,'305801',2010,34.4,48.86,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',70,79,'  0',61,'  0' 
28,240,332,28,8,'305801',2010,34.4,48.86,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',73,83,'  0',62,'  0' 
29,241,333,29,8,'305801',2010,34.4,48.86,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',81,94,'  0',67,'  0' 
30,242,334,30,8,'305801',2010,34.4,48.86,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',82,92,'  0',72,'  0' 
31,243,335,31,8,'305801',2010,34.4,48.86,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',86,96,'  0',76,'  0' 
1,244,336,32,9,'305801',2010,34.4,48.86,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',86,96,'  0',76,'  0' 
2,245,337,33,9,'305801',2010,34.4,48.86,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',86,94,'  0',78,'  0' 
3,246,338,34,9,'305801',2010,34.4,48.86,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',80,85,'  0',75,'  0' 
4,247,339,35,9,'305801',2010,34.4,48.86,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',73,81,'  0',64,'  0' 
5,248,340,36,9,'305801',2010,34.4,48.86,0,0,'  0',0,'  0',0,'  0','2009-10','2010-11',70,78,'  0',61,'  0' 
